Refs,datasheet,footprint,value,part#,rs#
C9,,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,100nF,UofG,
C8,,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm,10uF,UofG,
D7,,LEDs:LED_D3.0mm,LED,UofG,
J14,,Connectors:GS2,GS2,,
J7,,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm,CONN_01X02,UofG,
R19,,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R,UofG,
SW1,,BowlsEye:SPDT,SW_SPDT,UofG,
U3,,TO_SOT_Packages_THT:TO-220-3_Horizontal,L78S05CV,UofG,
U4,,TO_SOT_Packages_THT:TO-220-3_Horizontal,LD1117S33TR_SOT223,UofG,
